Bus Hound 6.01 capture on Windows XP Service Pack 3 (x86). Complements of www.perisoft.net

command

  Phase  - Phase Type
            IN    Data in transfer           
            OUT   Data out transfer          
  Data   - Hex dump of the data transferred
  Cmd... - Position in the captured data


Phase  Data                                                                                                    Cmd.Phase.Ofs(rep)
IN     05                                                                                                           928.1.0        
IN     00                                                                                                           929.1.0        
IN     ff                                                                                                           930.1.0(8)     
IN     01                                                                                                           938.1.0        
IN     ff                                                                                                           939.1.0        
IN     00                                                                                                           940.1.0(4)     
IN     22                                                                                                           944.1.0        
IN     0b                                                                                                           945.1.0        
IN     0d                                                                                                           946.1.0        
OUT    7e 9d 32 81  10 26 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 86       947.1.0        
       01 0d                                                                                                        947.1.32       
IN     7e                                                                                                           948.1.0        
IN     9d                                                                                                           949.1.0        
IN     32                                                                                                           950.1.0        
IN     81                                                                                                           951.1.0        
IN     10                                                                                                           952.1.0        
IN     16                                                                                                           953.1.0        
IN     04                                                                                                           954.1.0        
IN     05                                                                                                           955.1.0        
IN     02                                                                                                           956.1.0        
IN     17                                                                                                           957.1.0        
IN     45                                                                                                           958.1.0        
IN     23                                                                                                           959.1.0        
IN     25                                                                                                           960.1.0        
IN     00                                                                                                           961.1.0(2)     
IN     05                                                                                                           963.1.0        
IN     00                                                                                                           964.1.0        
IN     ff                                                                                                           965.1.0(9)     
IN     00                                                                                                           973.1.0(5)     
IN     21                                                                                                           979.1.0        
IN     0b                                                                                                           980.1.0        
IN     0d                                                                                                           981.1.0        
OUT    7e 9d 32 81  10 26 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 86       982.1.0        
       01 0d                                                                                                        982.1.32       
IN     7e                                                                                                           983.1.0        
IN     9d                                                                                                           984.1.0        
IN     32                                                                                                           985.1.0        
IN     81                                                                                                           986.1.0        
IN     10                                                                                                           987.1.0        
IN     16                                                                                                           988.1.0        
IN     04                                                                                                           989.1.0        
IN     05                                                                                                           990.1.0        
IN     02                                                                                                           991.1.0        
IN     17                                                                                                           992.1.0        
IN     45                                                                                                           993.1.0        
IN     23                                                                                                           994.1.0        
IN     25                                                                                                           995.1.0        
IN     00                                                                                                           996.1.0(2)     
IN     05                                                                                                           998.1.0        
IN     00                                                                                                           999.1.0        
IN     ff                                                                                                          1000.1.0(9)     
IN     00                                                                                                          1008.1.0(5)     
IN     21                                                                                                          1014.1.0        
IN     0b                                                                                                          1015.1.0        
IN     0d                                                                                                          1016.1.0        
OUT    7e 9d 32 81  10 26 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 86      1017.1.0(2)     
       01 0d                                                                                                       1017.1.32       
IN     7e                                                                                                          1019.1.0        
IN     9d                                                                                                          1020.1.0        
IN     32                                                                                                          1021.1.0        
IN     81                                                                                                          1022.1.0        
IN     10                                                                                                          1023.1.0        
IN     16                                                                                                          1024.1.0        
IN     04                                                                                                          1025.1.0        
IN     05                                                                                                          1026.1.0        
IN     02                                                                                                          1027.1.0        
IN     17                                                                                                          1028.1.0        
IN     45                                                                                                          1029.1.0        
IN     25                                                                                                          1030.1.0        
IN     26                                                                                                          1031.1.0        
IN     00                                                                                                          1032.1.0(2)     
IN     05                                                                                                          1034.1.0        
IN     00                                                                                                          1035.1.0        
IN     3a                                                                                                          1036.1.0        
IN     83                                                                                                          1037.1.0        
IN     11                                                                                                          1038.1.0        
IN     00                                                                                                          1039.1.0        
IN     85                                                                                                          1040.1.0        
IN     20                                                                                                          1041.1.0        
IN     ab                                                                                                          1042.1.0        
IN     8d                                                                                                          1043.1.0        
IN     01                                                                                                          1044.1.0        
IN     ff                                                                                                          1045.1.0        
IN     00                                                                                                          1046.1.0(4)     
IN     d8                                                                                                          1050.1.0        
IN     05                                                                                                          1051.1.0        
IN     0d                                                                                                          1052.1.0        
OUT    7e 9d 32 81  10 27 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 87      1053.1.0        
       01 0d                                                                                                       1053.1.32       
IN     7e                                                                                                          1054.1.0        
IN     9d                                                                                                          1055.1.0        
IN     32                                                                                                          1056.1.0        
IN     81                                                                                                          1057.1.0        
IN     10                                                                                                          1058.1.0        
IN     16                                                                                                          1059.1.0        
IN     04                                                                                                          1060.1.0        
IN     05                                                                                                          1061.1.0        
IN     02                                                                                                          1062.1.0        
IN     17                                                                                                          1063.1.0        
IN     45                                                                                                          1064.1.0        
IN     25                                                                                                          1065.1.0        
IN     26                                                                                                          1066.1.0        
IN     00                                                                                                          1067.1.0(2)     
IN     05                                                                                                          1069.1.0        
IN     00                                                                                                          1070.1.0        
IN     ff                                                                                                          1071.1.0(8)     
IN     01                                                                                                          1079.1.0        
IN     ff                                                                                                          1080.1.0        
IN     00                                                                                                          1081.1.0(4)     
IN     25                                                                                                          1085.1.0        
IN     0b                                                                                                          1086.1.0        
IN     0d                                                                                                          1087.1.0        
OUT    7e 9d 32 81  10 27 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 87      1088.1.0        
       01 0d                                                                                                       1088.1.32       
IN     7e                                                                                                          1089.1.0        
IN     9d                                                                                                          1090.1.0        
IN     32                                                                                                          1091.1.0        
IN     81                                                                                                          1092.1.0        
IN     10                                                                                                          1093.1.0        
IN     16                                                                                                          1094.1.0        
IN     04                                                                                                          1095.1.0        
IN     05                                                                                                          1096.1.0        
IN     02                                                                                                          1097.1.0        
IN     17                                                                                                          1098.1.0        
IN     45                                                                                                          1099.1.0        
IN     25                                                                                                          1100.1.0        
IN     26                                                                                                          1101.1.0        
IN     00                                                                                                          1102.1.0(2)     
IN     05                                                                                                          1104.1.0        
IN     00                                                                                                          1105.1.0        
IN     ff                                                                                                          1106.1.0(8)     
IN     01                                                                                                          1114.1.0        
IN     ff                                                                                                          1115.1.0        
IN     00                                                                                                          1116.1.0(4)     
IN     25                                                                                                          1120.1.0        
IN     0b                                                                                                          1121.1.0        
IN     0d                                                                                                          1122.1.0        
OUT    7e 9d 32 81  10 27 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 87      1123.1.0        
       01 0d                                                                                                       1123.1.32       
IN     7e                                                                                                          1124.1.0        
IN     9d                                                                                                          1125.1.0        
IN     32                                                                                                          1126.1.0        
IN     81                                                                                                          1127.1.0        
IN     10                                                                                                          1128.1.0        
IN     16                                                                                                          1129.1.0        
IN     04                                                                                                          1130.1.0        
IN     05                                                                                                          1131.1.0        
IN     02                                                                                                          1132.1.0        
IN     17                                                                                                          1133.1.0        
IN     45                                                                                                          1134.1.0        
IN     25                                                                                                          1135.1.0        
IN     26                                                                                                          1136.1.0        
IN     00                                                                                                          1137.1.0(2)     
IN     05                                                                                                          1139.1.0        
IN     00                                                                                                          1140.1.0        
IN     ff                                                                                                          1141.1.0(8)     
IN     01                                                                                                          1149.1.0        
IN     ff                                                                                                          1150.1.0        
IN     00                                                                                                          1151.1.0(4)     
IN     25                                                                                                          1155.1.0        
IN     0b                                                                                                          1156.1.0        
IN     0d                                                                                                          1157.1.0        
OUT    7e 9d 32 81  10 27 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 87      1158.1.0        
       01 0d                                                                                                       1158.1.32       
IN     7e                                                                                                          1159.1.0        
IN     9d                                                                                                          1160.1.0        
IN     32                                                                                                          1161.1.0        
IN     81                                                                                                          1162.1.0        
IN     10                                                                                                          1163.1.0        
IN     16                                                                                                          1164.1.0        
IN     04                                                                                                          1165.1.0        
IN     05                                                                                                          1166.1.0        
IN     02                                                                                                          1167.1.0        
IN     17                                                                                                          1168.1.0        
IN     45                                                                                                          1169.1.0        
IN     25                                                                                                          1170.1.0        
IN     26                                                                                                          1171.1.0        
IN     00                                                                                                          1172.1.0(2)     
IN     05                                                                                                          1174.1.0        
IN     00                                                                                                          1175.1.0        
IN     ff                                                                                                          1176.1.0(8)     
IN     01                                                                                                          1184.1.0        
IN     ff                                                                                                          1185.1.0        
IN     00                                                                                                          1186.1.0(4)     
IN     25                                                                                                          1190.1.0        
IN     0b                                                                                                          1191.1.0        
IN     0d                                                                                                          1192.1.0        
OUT    7e 9d 32 81  10 27 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 87      1193.1.0        
       01 0d                                                                                                       1193.1.32       
IN     7e                                                                                                          1194.1.0        
IN     9d                                                                                                          1195.1.0        
IN     32                                                                                                          1196.1.0        
IN     81                                                                                                          1197.1.0        
IN     10                                                                                                          1198.1.0        
IN     16                                                                                                          1199.1.0        
IN     04                                                                                                          1200.1.0        
IN     05                                                                                                          1201.1.0        
IN     02                                                                                                          1202.1.0        
IN     17                                                                                                          1203.1.0        
IN     45                                                                                                          1204.1.0        
IN     27                                                                                                          1205.1.0        
IN     26                                                                                                          1206.1.0        
IN     00                                                                                                          1207.1.0(2)     
IN     05                                                                                                          1209.1.0        
IN     00                                                                                                          1210.1.0        
IN     ff                                                                                                          1211.1.0(9)     
IN     00                                                                                                          1219.1.0(5)     
IN     26                                                                                                          1225.1.0        
IN     0b                                                                                                          1226.1.0        
IN     0d                                                                                                          1227.1.0        
OUT    7e 9d 32 81  10 27 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 87      1228.1.0        
       01 0d                                                                                                       1228.1.32       
IN     7e                                                                                                          1229.1.0        
IN     9d                                                                                                          1230.1.0        
IN     32                                                                                                          1231.1.0        
IN     81                                                                                                          1232.1.0        
IN     10                                                                                                          1233.1.0        
IN     16                                                                                                          1234.1.0        
IN     04                                                                                                          1235.1.0        
IN     05                                                                                                          1236.1.0        
IN     02                                                                                                          1237.1.0        
IN     17                                                                                                          1238.1.0        
IN     45                                                                                                          1239.1.0        
IN     27                                                                                                          1240.1.0        
IN     26                                                                                                          1241.1.0        
IN     00                                                                                                          1242.1.0(2)     
IN     05                                                                                                          1244.1.0        
IN     00                                                                                                          1245.1.0        
IN     ff                                                                                                          1246.1.0(9)     
IN     00                                                                                                          1254.1.0(5)     
IN     26                                                                                                          1260.1.0        
IN     0b                                                                                                          1261.1.0        
IN     0d                                                                                                          1262.1.0        
OUT    7e 9d 32 81  10 27 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 87      1263.1.0        
       01 0d                                                                                                       1263.1.32       
IN     7e                                                                                                          1264.1.0        
IN     9d                                                                                                          1265.1.0        
IN     32                                                                                                          1266.1.0        
IN     81                                                                                                          1267.1.0        
IN     10                                                                                                          1268.1.0        
IN     16                                                                                                          1269.1.0        
IN     04                                                                                                          1270.1.0        
IN     05                                                                                                          1271.1.0        
IN     02                                                                                                          1272.1.0        
IN     17                                                                                                          1273.1.0        
IN     45                                                                                                          1274.1.0        
IN     27                                                                                                          1275.1.0        
IN     26                                                                                                          1276.1.0        
IN     00                                                                                                          1277.1.0(2)     
IN     05                                                                                                          1279.1.0        
IN     00                                                                                                          1280.1.0        
IN     ff                                                                                                          1281.1.0(9)     
IN     00                                                                                                          1289.1.0(5)     
IN     26                                                                                                          1295.1.0        
IN     0b                                                                                                          1296.1.0        
IN     0d                                                                                                          1297.1.0        
OUT    7e 9d 32 81  10 27 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 87      1298.1.0        
       01 0d                                                                                                       1298.1.32       
IN     7e                                                                                                          1299.1.0        
IN     9d                                                                                                          1300.1.0        
IN     32                                                                                                          1301.1.0        
IN     81                                                                                                          1302.1.0        
IN     10                                                                                                          1303.1.0        
IN     16                                                                                                          1304.1.0        
IN     04                                                                                                          1305.1.0        
IN     05                                                                                                          1306.1.0        
IN     02                                                                                                          1307.1.0        
IN     17                                                                                                          1308.1.0        
IN     45                                                                                                          1309.1.0        
IN     27                                                                                                          1310.1.0        
IN     26                                                                                                          1311.1.0        
IN     00                                                                                                          1312.1.0(2)     
IN     05                                                                                                          1314.1.0        
IN     00                                                                                                          1315.1.0        
IN     ff                                                                                                          1316.1.0(9)     
IN     00                                                                                                          1324.1.0(5)     
IN     26                                                                                                          1330.1.0        
IN     0b                                                                                                          1331.1.0        
IN     0d                                                                                                          1332.1.0        
OUT    7e 9d 32 81  10 27 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 87      1333.1.0        
       01 0d                                                                                                       1333.1.32       
IN     7e                                                                                                          1334.1.0        
IN     9d                                                                                                          1335.1.0        
IN     32                                                                                                          1336.1.0        
IN     81                                                                                                          1337.1.0        
IN     10                                                                                                          1338.1.0        
IN     16                                                                                                          1339.1.0        
IN     04                                                                                                          1340.1.0        
IN     05                                                                                                          1341.1.0        
IN     02                                                                                                          1342.1.0        
IN     17                                                                                                          1343.1.0        
IN     45                                                                                                          1344.1.0        
IN     29                                                                                                          1345.1.0        
IN     26                                                                                                          1346.1.0        
IN     00                                                                                                          1347.1.0(2)     
IN     05                                                                                                          1349.1.0        
IN     00                                                                                                          1350.1.0        
IN     ff                                                                                                          1351.1.0(9)     
IN     00                                                                                                          1359.1.0(5)     
IN     28                                                                                                          1365.1.0        
IN     0b                                                                                                          1366.1.0        
IN     0d                                                                                                          1367.1.0        
OUT    7e 9d 32 81  10 27 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 87      1368.1.0        
       01 0d                                                                                                       1368.1.32       
IN     7e                                                                                                          1369.1.0        
IN     9d                                                                                                          1370.1.0        
IN     32                                                                                                          1371.1.0        
IN     81                                                                                                          1372.1.0        
IN     10                                                                                                          1373.1.0        
IN     16                                                                                                          1374.1.0        
IN     04                                                                                                          1375.1.0        
IN     05                                                                                                          1376.1.0        
IN     02                                                                                                          1377.1.0        
IN     17                                                                                                          1378.1.0        
IN     45                                                                                                          1379.1.0        
IN     29                                                                                                          1380.1.0        
IN     26                                                                                                          1381.1.0        
IN     00                                                                                                          1382.1.0(2)     
IN     05                                                                                                          1384.1.0        
IN     00                                                                                                          1385.1.0        
IN     ff                                                                                                          1386.1.0(9)     
IN     00                                                                                                          1394.1.0(5)     
IN     28                                                                                                          1400.1.0        
IN     0b                                                                                                          1401.1.0        
IN     0d                                                                                                          1402.1.0        
OUT    7e 9d 32 81  10 27 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 87      1403.1.0        
       01 0d                                                                                                       1403.1.32       
IN     7e                                                                                                          1404.1.0        
IN     9d                                                                                                          1405.1.0        
IN     32                                                                                                          1406.1.0        
IN     81                                                                                                          1407.1.0        
IN     10                                                                                                          1408.1.0        
IN     16                                                                                                          1409.1.0        
IN     04                                                                                                          1410.1.0        
IN     05                                                                                                          1411.1.0        
IN     02                                                                                                          1412.1.0        
IN     17                                                                                                          1413.1.0        
IN     45                                                                                                          1414.1.0        
IN     29                                                                                                          1415.1.0        
IN     26                                                                                                          1416.1.0        
IN     00                                                                                                          1417.1.0(2)     
