Bus Hound 6.01 capture on Windows XP Service Pack 3 (x86). Complements of www.perisoft.net

command

  Phase  - Phase Type
            IN    Data in transfer           
            OUT   Data out transfer          
  Data   - Hex dump of the data transferred
  Cmd... - Position in the captured data


Phase  Data                                                                                                    Cmd.Phase.Ofs(rep)
IN     00                                                                                                           193.1.0        
IN     ff                                                                                                           194.1.0(8)     
IN     01                                                                                                           202.1.0        
IN     ff                                                                                                           203.1.0        
IN     00                                                                                                           204.1.0(4)     
IN     0d                                                                                                           208.1.0        
IN     0b                                                                                                           209.1.0        
IN     0d                                                                                                           210.1.0        
OUT    7e 9d 32 81  10 22 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 82       211.1.0        
       01 0d                                                                                                        211.1.32       
IN     7e                                                                                                           212.1.0        
IN     9d                                                                                                           213.1.0        
IN     32                                                                                                           214.1.0        
IN     81                                                                                                           215.1.0        
IN     10                                                                                                           216.1.0        
IN     16                                                                                                           217.1.0        
IN     04                                                                                                           218.1.0        
IN     05                                                                                                           219.1.0        
IN     02                                                                                                           220.1.0        
IN     17                                                                                                           221.1.0        
IN     45                                                                                                           222.1.0        
IN     12                                                                                                           223.1.0        
IN     21                                                                                                           224.1.0        
IN     00                                                                                                           225.1.0(2)     
IN     05                                                                                                           227.1.0        
IN     00                                                                                                           228.1.0        
IN     ff                                                                                                           229.1.0(8)     
IN     01                                                                                                           237.1.0        
IN     ff                                                                                                           238.1.0        
IN     00                                                                                                           239.1.0(4)     
IN     0d                                                                                                           243.1.0        
IN     0b                                                                                                           244.1.0        
IN     0d                                                                                                           245.1.0        
OUT    7e 9d 32 81  10 22 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 82       246.1.0        
       01 0d                                                                                                        246.1.32       
IN     7e                                                                                                           247.1.0        
IN     9d                                                                                                           248.1.0        
IN     32                                                                                                           249.1.0        
IN     81                                                                                                           250.1.0        
IN     10                                                                                                           251.1.0        
IN     16                                                                                                           252.1.0        
IN     04                                                                                                           253.1.0        
IN     05                                                                                                           254.1.0        
IN     02                                                                                                           255.1.0        
IN     17                                                                                                           256.1.0        
IN     45                                                                                                           257.1.0        
IN     12                                                                                                           258.1.0        
IN     22                                                                                                           259.1.0        
IN     00                                                                                                           260.1.0(2)     
IN     05                                                                                                           262.1.0        
IN     00                                                                                                           263.1.0        
IN     3a                                                                                                           264.1.0        
IN     83                                                                                                           265.1.0        
IN     11                                                                                                           266.1.0        
IN     00                                                                                                           267.1.0        
IN     85                                                                                                           268.1.0        
IN     20                                                                                                           269.1.0        
IN     a6                                                                                                           270.1.0        
IN     8d                                                                                                           271.1.0        
IN     01                                                                                                           272.1.0        
IN     ff                                                                                                           273.1.0        
IN     00                                                                                                           274.1.0(4)     
IN     bc                                                                                                           278.1.0        
IN     05                                                                                                           279.1.0        
IN     0d                                                                                                           280.1.0        
OUT    7e 9d 32 81  10 23 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 83       281.1.0        
       01 0d                                                                                                        281.1.32       
IN     7e                                                                                                           282.1.0        
IN     9d                                                                                                           283.1.0        
IN     32                                                                                                           284.1.0        
IN     81                                                                                                           285.1.0        
IN     10                                                                                                           286.1.0        
IN     16                                                                                                           287.1.0        
IN     04                                                                                                           288.1.0        
IN     05                                                                                                           289.1.0        
IN     02                                                                                                           290.1.0        
IN     17                                                                                                           291.1.0        
IN     45                                                                                                           292.1.0        
IN     12                                                                                                           293.1.0        
IN     23                                                                                                           294.1.0        
IN     00                                                                                                           295.1.0(2)     
IN     05                                                                                                           297.1.0        
IN     00                                                                                                           298.1.0        
IN     3a                                                                                                           299.1.0        
IN     83                                                                                                           300.1.0        
IN     11                                                                                                           301.1.0        
IN     00                                                                                                           302.1.0        
IN     85                                                                                                           303.1.0        
IN     20                                                                                                           304.1.0        
IN     a6                                                                                                           305.1.0        
IN     8d                                                                                                           306.1.0        
IN     01                                                                                                           307.1.0        
IN     ff                                                                                                           308.1.0        
IN     00                                                                                                           309.1.0(4)     
IN     bd                                                                                                           313.1.0        
IN     05                                                                                                           314.1.0        
IN     0d                                                                                                           315.1.0        
OUT    7e 9d 32 81  10 24 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 84       316.1.0(2)     
       01 0d                                                                                                        316.1.32       
IN     7e                                                                                                           318.1.0        
IN     9d                                                                                                           319.1.0        
IN     32                                                                                                           320.1.0        
IN     81                                                                                                           321.1.0        
IN     10                                                                                                           322.1.0        
IN     16                                                                                                           323.1.0        
IN     04                                                                                                           324.1.0        
IN     05                                                                                                           325.1.0        
IN     02                                                                                                           326.1.0        
IN     17                                                                                                           327.1.0        
IN     45                                                                                                           328.1.0        
IN     14                                                                                                           329.1.0        
IN     24                                                                                                           330.1.0        
IN     00                                                                                                           331.1.0(2)     
IN     05                                                                                                           333.1.0        
IN     00                                                                                                           334.1.0        
IN     3a                                                                                                           335.1.0        
IN     83                                                                                                           336.1.0        
IN     11                                                                                                           337.1.0        
IN     00                                                                                                           338.1.0        
IN     85                                                                                                           339.1.0        
IN     20                                                                                                           340.1.0        
IN     a7                                                                                                           341.1.0        
IN     8d                                                                                                           342.1.0        
IN     01                                                                                                           343.1.0        
IN     ff                                                                                                           344.1.0        
IN     00                                                                                                           345.1.0(4)     
IN     c1                                                                                                           349.1.0        
IN     05                                                                                                           350.1.0        
IN     0d                                                                                                           351.1.0        
OUT    7e 9d 32 81  10 25 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 85       352.1.0        
       01 0d                                                                                                        352.1.32       
IN     7e                                                                                                           353.1.0        
IN     9d                                                                                                           354.1.0        
IN     32                                                                                                           355.1.0        
IN     81                                                                                                           356.1.0        
IN     10                                                                                                           357.1.0        
IN     16                                                                                                           358.1.0        
IN     04                                                                                                           359.1.0        
IN     05                                                                                                           360.1.0        
IN     02                                                                                                           361.1.0        
IN     17                                                                                                           362.1.0        
IN     45                                                                                                           363.1.0        
IN     14                                                                                                           364.1.0        
IN     24                                                                                                           365.1.0        
IN     00                                                                                                           366.1.0(2)     
IN     05                                                                                                           368.1.0        
IN     00                                                                                                           369.1.0        
IN     ff                                                                                                           370.1.0(8)     
IN     01                                                                                                           378.1.0        
IN     ff                                                                                                           379.1.0        
IN     00                                                                                                           380.1.0(4)     
IN     12                                                                                                           384.1.0        
IN     0b                                                                                                           385.1.0        
IN     0d                                                                                                           386.1.0        
OUT    7e 9d 32 81  10 25 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 00  00 00 00 85       387.1.0        
       01 0d                                                                                                        387.1.32       
IN     7e                                                                                                           388.1.0        
IN     9d                                                                                                           389.1.0        
IN     32                                                                                                           390.1.0        
IN     81                                                                                                           391.1.0        
IN     10                                                                                                           392.1.0        
IN     16                                                                                                           393.1.0        
IN     04                                                                                                           394.1.0        
IN     05                                                                                                           395.1.0        
IN     02                                                                                                           396.1.0        
IN     17                                                                                                           397.1.0        
IN     45                                                                                                           398.1.0        
IN     14                                                                                                           399.1.0        
